"settimana","giorno","primo","secondo","contorno","frutta","spuntino"
"1","Lunedì","Pasta (tortiglioni) s.g. al Pesto","Mozzarella","Zucchine al forno con formaggio grana e aromi","-","Frutta di stagione"
"1","Martedì","Pasta (fusilli) s.g. al pomodoro","Insalatona (tonno, pomodoro, cetrioli)","-","-","Gelato valsoia"
"1","Mercoledì","Pasta (penne) s.g.  olio e grana","Arrosto di lonza con salsa","Carote alla julienne","-","Pane senza glutine e marmellata"
"1","Giovedì","Riso con mais pomodorini e olive","Cosce di pollo agli aromi","Peperoni","-","Yogurt"
"1","Venerdì","Risotto con crema di zucchine e salmone","Pesce in umido","Pomodori in insalata","-","Frutta di stagione"
"2","Lunedì","Pasta (fusilli) s.g  olio e grana","Mozzarella","Melanzane al funghetto","-","Frutta di stagione"
"2","Martedì","Riso Primavera (pomodorini, mais e condiriso)","Polpettone","Pomodori in insalata","-","Pane senza glutine miele"
"2","Mercoledì","Gnocchi senza glutine robiola pesto e besciamella","-","Insalata mista","-","yogurt"
"2","Giovedì","Risotto alla puttanesca (salsa di pomodoro, capperi e olive)","Pesce al forno","Carote alla Julienne","-","Gelato valsoia"
"2","Venerdì","Pasta (tortiglioni) s. g.con asparagi e gamberetti","Tortino di verdure","Zucchine","-","Frutta di stagione"
"3","Lunedì","Risotto allo zafferano","Mozzarella","Zucchine","-","Frutta di stagione"
"3","Martedì","Gnocchi senza glutine al pesto","Polpettone di legumi","Fagiolini in insalata","-","Frutta secca"
"3","Mercoledì","Pasta (penne) s.g  olio e grana","Frittata di spinaci","Pomodori","-","Pane senza glutine e marmellata"
"3","Giovedì","Risotto con crema di zucchine","Fusi di pollo agli aromi","Insalata verde","-","yogurt"
"3","Venerdì","Pasta (penne) senza glutine al pomodoro","Cotoletta di pesce al forno","Carote alla Julienne","-","Frutta di stagione"
"4","Lunedì","Lenticchie in umido","Mozzarella","Insalata di carote","-","Frutta di stagione"
"4","Martedì","Pasta (penne) s.g. alla norma","Petto di pollo limone e rosmarino","Zucchine","-","Gelato valsoia"
"4","Mercoledì","Risotto alla parmigiana","Bresaola","Pomodori in insalata","-","Pane senza glutine al miele"
"4","Giovedì","Pizza margherita senza glutine","Insalata mista","-","-","Yogurt"
"4","Venerdì","Pasta (tortiglioni) s.g. al pesto","Insalata di sgombro olive mais e pomodorini","-","-","Frutta di stagione"
