"settimana","giorno","pranzo","spuntino","merenda"
"1","Lunedì","Crema di verdure con farro
Frittata (non latte e formaggio)
Finocchi lessi","Frutta Fresca","Tè deteinato con frollini"
"1","Martedì","Risotto con le zucchine
Merluzzo Gratinato (no formaggio)
Erbette","Frutta fresca","Yogurt VALSOIA"
"1","Mercoledì","Pasta all'olio
Polpette di lenticchie (no formaggio)
Finocchi","Frutta Fresca","Frutta Fresca"
"1","Giovedì","Pasta al ragù di carne gratinato (no formaggio)
Carote","Frutta fresca","Yogurt VALSOIA"
"1","Venerdì","Minestrone di verdure
Merluzzo al forno olio e limone (no farina e no pane)
Patate al forno","Frutta Fresca","Frutta Fresca"
"2","Lunedì","Orzotto al pomodoro
Frittata con zucchine (no latte e formaggio)
Broccoli","Frutta Fresca","Tè deteinato con frollini"
"2","Martedì","Risotto alla zafferano
Platessa gratinata (no formaggio)
Insalata","Frutta Fresca","Yogurt VALSOIA"
"2","Mercoledì","Pasta e Fagioli
Cavolfiori Gratinati (no formaggio)","Frutta Fresca","Frutta Fresca"
"2","Giovedì","Pasta con i broccoli
Bocconcini di pollo gratinati
Erbette","Frutta fresca","Yogurt VALSOIA"
"2","Venerdì","Crema di verdure con riso
Platessa al forno olio e limone
Zucca al forno","Frutta Fresca","Frutta Fresca"
"3","Lunedì","Crema di verdure
Frittata con erbette (no latte e formaggio)
Patate prezzemolate","Frutta fresca","Tè deteinato con frollini"
"3","Martedì","Risotto con la zucca
Merluzzo Gratinato (no formaggio)
Cavolfiori","Frutta fresca","Yogurt VALSOIA"
"3","Mercoledì","Pasta all'olio
Lenticchie
Insalata","Frutta fresca","Frutta fresca"
"3","Giovedì","Lasagne al ragù di carne
Bieta a coste","Frutta fresca","Yogurt VALSOIA"
"3","Venerdì","Farro con crema di verdure
Merluzzo al forno olio e limone (no farina e no pane)
Finocchi","Frutta fresca","Frutta fresca"
"4","Lunedì","Orzotto al pomodoro
Uova strapazzate
Zucca al forno","Frutta fresca","Tè deteinato con frollini"
"4","Martedì","Risotto con zucchine
Platessa al forno (no farina e pane)
Bieta a coste","Frutta fresca","Yogurt VALSOIA"
"4","Mercoledì","Pasta con verdure
Purea di ceci
Carote in insalata","Frutta fresca","Frutta fresca"
"4","Giovedì","Minestrone di verdure
Spezzatino di tacchino in umido
Patate al forno","Frutta fresca","Yogurt VALSOIA"
"4","Venerdì","Pasta al pomodoro
Platessa al forno olio e limone ( no farina e pane)
Zucchine","Frutta fresca","Frutta fresca"
