"type","menu","week","day","first_course","second_course","side_dish","fruit","snack"
"1","1","1","1","Pasta  e fagioli","FUSI DI POLLO / MOZZARELLA  ","Fagiolini *","Frutta di stagione  ","Focaccina monoporzione  "
"1","1","1","2","Risotto allo zafferano ","Spezzatino di manzo  ","piselli  *","Frutta di stagione  ","Frutta di stagione  "
"1","1","1","3","Pasta al pomodoro","Mozzarella / Frittata","Insalata ","Frutta di stagione  ","Dolce  "
"1","1","1","4","Pasta al burro e parmigiano  "," Polpette di carne *","spinaci  *","Frutta di stagione  ","Yogurt alla frutta  "
"1","1","1","5","Pasta alla norma  ","Pesce gratinato *( merluzzo/  ","broccoli  *","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"1","1","2","1","risotto alla zucca ","Mozzarella  ","Insalata mista ","Frutta di stagione  ","Crostatina  "
"1","1","2","2","Crema di verdure*  e crostini ","Spiedini  *","Patate* al forno  ","Frutta di stagione  ","Yogurt alla frutta  "
"1","1","2","3","Pasta al forno  ","Insalatona tonno, ","Mais pomodoro e formaggio","Frutta di stagione  ","Schiacciatina   "
"1","1","2","4","Pasta con olio e grana ","Arrosto di maiale ","fagiolini  *","Frutta di stagione  ","Budino  "
"1","1","2","5","Gnocchi al pomodoro  ","Pesce *(merluzzo platessa)  ","Cavolfiori * ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"1","1","3","1","Pasta con il ragù  *","formaggio spalmabile  ","Insalata CAROTE ","Frutta di stagione  ","Plumcake   "
"1","1","3","2","Pasta OLIO E GRANA ","hamburger  *","Carote INSALATA  ","Frutta di stagione  ","Budino  "
"1","1","3","3","Pasta pomodoro e tonno  ","petto di pollo  *","Broccoli  *","Frutta di stagione  ","Crostatina  "
"1","1","3","4","Pizza margherita  "," Insalata mista con legumi ","-","Frutta di stagione  ","Frutta di stagione  "
"1","1","3","5","Pasta al pomodoro ","Filetto di merluzzo* panato  ","Spinaci  *","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"1","1","4","1","Ravioli burro e salvia ","Spiedini","carote *","Frutta di stagione  ","Frutta di stagione  "
"1","1","4","2","Pasta e ceci ","Formaggio","broccoli  *","Frutta di stagione  ","Dolce  "
"1","1","4","3","Pasta all’amatriciana  ","Frittata","Fagiolini  *","Frutta di stagione  ","pane e cioccolato  "
"1","1","4","4","Pasta all’olio e parmigiano ","Bocconcini di Tacchino","insalata ","Frutta di stagione  ","Yogurt alla frutta  "
"1","1","4","5","Risotto ai frutti di mare  *","Tonno","Finocchi ad insalata ","Frutta di stagione  ","Muffin al cioccolato  "
"2","1","1","1","Pasta  e fagioli","FUSI DI POLLO","Fagiolini *","Frutta di stagione  ","Focaccina monoporzione  "
"2","1","1","2","Risotto allo zafferano ","Spezzatino di manzo  ","piselli  *","Frutta di stagione  ","Frutta di stagione  "
"2","1","1","3","Pasta al pomodoro","Frittata","Insalata ","Frutta di stagione  ","Dolce  "
"2","1","1","4","Pasta al burro e parmigiano  "," Polpette di carne *","spinaci  *","Frutta di stagione  ","Yogurt senza lattosio"
"2","1","1","5","Pasta alla norma  ","Pesce gratinato *( merluzzo/  ","broccoli  *","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"2","1","2","1","risotto alla zucca ","Prosciutto","Insalata mista ","Frutta di stagione  ","Dolce senza lattosio"
"2","1","2","2","Crema di verdure*  e crostini ","Spiedini  *","Patate* al forno  ","Frutta di stagione  ","Frutta di stagione  "
"2","1","2","3","Pasta al forno  ","Insalatona tonno, ","Mais pomodoro e formaggio","Frutta di stagione  ","Schiacciatina   "
"2","1","2","4","Pasta con olio e grana ","Arrosto di maiale ","fagiolini  *","Frutta di stagione  ","Panino alla marmellata"
"2","1","2","5","Gnocchi al pomodoro  ","Pesce *(merluzzo platessa)  ","Cavolfiori * ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"2","1","3","1","Pasta con il ragù  *","Affettato di tacchino","Insalata CAROTE ","Frutta di stagione  ","Brioche senza lattosio"
"2","1","3","2","Pasta all'olio","hamburger  *","Carote INSALATA  ","Frutta di stagione  ","Panino alla marmellata"
"2","1","3","3","Pasta pomodoro e tonno  ","petto di pollo  *","Broccoli  *","Frutta di stagione  ","Crackers senza sale"
"2","1","3","4","Pizza margherita  "," Insalata mista con legumi ","-","Frutta di stagione  ","Frutta di stagione  "
"2","1","3","5","Pasta al pomodoro ","Filetto di merluzzo* panato  ","Spinaci  *","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"2","1","4","1","Gnocchi all'olio","Spiedini","carote *","Frutta di stagione  ","Frutta di stagione  "
"2","1","4","2","Pasta e ceci ","Prosciutto","broccoli  *","Frutta di stagione  ","Brioche senza lattosio"
"2","1","4","3","Pasta all’amatriciana  ","Frittata","Fagiolini  *","Frutta di stagione  ","pane e cioccolato  "
"2","1","4","4","Pasta all’olio e parmigiano ","Bocconcini di Tacchino","insalata ","Frutta di stagione  ","Yogurt senza lattosio"
"2","1","4","5","Risotto ai frutti di mare  *","Tonno","Finocchi ad insalata ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
